record_id,Tarih,Ýþ Emri No,Ýþ Merkezi No,Ýþmerkezi Adý,Ýþ Ýstasyon Adý,Stok Adý,Vardiya,A (Kullanýlýrlýk),P (Performans),Q (Kalite),OEE,Çalýþma Süresi,Duruþ Süresi,Planlý Duruþ Süresi,Plansýz Duruþ Süresi,Üretilen Miktar,Hatalý Üretilen Miktar
1,11/21/2025,3022867825,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,X590 Underbody Panel,2,0.0,0.0,0.0,0.0,92.57,22.89,6.15,16.74,0,0
2,9/21/2025,3028090293,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,,1,72.57,90.92,99.07,65.37,350.0,250.0,0.0,0.0,428,4
3,9/25/2025,3022166941,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,D544 Lower Valance,1,77.37,107.46,98.64,82.01,404.19,169.55,51.32,118.23,738,10
4,10/30/2025,3027366205,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,P702 Hood Seal,3,80.61,104.38,100.0,84.14,341.52,132.72,50.57,82.15,484,0
5,10/4/2025,3023342608,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,X590 Underbody Panel,3,0.0,0.0,0.0,0.0,336.3,115.35,25.71,89.64,0,0
6,10/3/2025,3021192619,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,D544 Lower Valance,3,81.18,87.98,100.0,71.42,397.75,112.64,20.41,92.23,488,0
7,10/18/2025,3023710343,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,3,86.13,86582.44,97.1,72414.65,446.36,101.19,29.32,71.87,794,23
8,9/22/2025,3025446912,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,3,92.25,228507.69,99.26,209247.68,302.71,57.78,32.36,25.42,406,3
9,11/20/2025,3021987737,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,V363 BEV Base GOR SUBASSY,1,98.06,100.75,99.66,98.45,429.29,22.78,14.28,8.5,591,2
10,12/3/2025,3021908841,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,V710 BEV/PHEV MIC White Lower,2,80.28,84.51,-53.33,-36.19,391.18,102.63,6.56,96.07,60,92
11,12/6/2025,3024965789,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,L663 Wheel Arch RR,2,75.49,83.6,98.83,62.37,319.59,157.91,54.15,103.76,257,3
12,9/8/2025,3022022698,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,V710 BEV/PHEV MIC White Lower,1,85.27,83.35,-11.69,-8.31,349.41,111.5,51.16,60.34,77,86
13,11/6/2025,3026307805,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,CX430 Skid Plate,3,93.12,100.84,99.2,93.15,387.7,52.39,23.75,28.64,624,5
14,12/22/2025,3025098412,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,P703 Fender Liner RR,1,82.49,111.45,98.47,90.53,307.07,83.34,18.15,65.19,914,14
15,9/27/2025,3026752576,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,,3,87.57,108.88,98.25,93.68,427.34,75.72,15.07,60.65,400,7
16,12/23/2025,3023500715,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,V710 BEV/PHEV MIC White Lower,2,95.15,88.48,97.69,82.25,348.93,25.42,7.65,17.77,1126,26
17,12/20/2025,3023726327,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,L663 Wheel Arch RR,1,67.65,92.0,-66.67,-41.49,232.01,157.88,46.94,110.94,21,35
18,11/24/2025,3024240180,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,B920 Rocker Molding LH,2,78.78,99.81,97.16,76.39,430.66,132.78,16.75,116.03,809,23
19,10/11/2025,3028321474,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,U611 Tow Hook Cover,1,80.83,102.1,97.44,80.41,291.71,84.47,15.28,69.19,234,6
20,10/9/2025,3029508103,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,D544 Lower Valance,2,76.65,84.52,98.88,64.05,274.59,116.93,33.26,83.67,712,8
21,10/27/2025,3028418210,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,U611 Tow Hook Cover,2,78.08,100.4,98.13,76.92,410.18,159.34,44.16,115.18,642,12
22,12/8/2025,3022221854,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,L663 Wheel Arch RR,3,80.1,91.59,98.07,71.95,346.94,109.24,23.04,86.2,415,8
23,9/16/2025,3028658158,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,K131 Side Skirt LH,2,75.91,110.3,98.16,82.19,373.6,154.28,35.73,118.55,1198,22
24,12/8/2025,3029745959,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,P702 Hood Seal,1,0.0,0.0,0.0,0.0,157.15,26.44,17.14,9.3,0,0
25,11/29/2025,3021327691,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,L663 Wheel Arch FR,2,81.15,107.02,98.86,85.85,181.71,87.42,45.21,42.21,613,7
26,10/30/2025,3023141239,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,U611 Sensor Bracket,1,86.18,80.85,-144.12,-100.42,443.01,110.81,39.78,71.03,34,83
27,12/5/2025,3021873851,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,CX430 Lower Grille,3,63.51,79.06,97.61,49.01,199.9,117.29,2.42,114.87,293,7
28,12/1/2025,3022921542,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,P703 Fender Liner RR,1,75.73,108.87,-42.11,-34.72,347.82,146.02,34.55,111.47,76,108
29,10/18/2025,3022156902,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,2,78.46,64119.53,97.55,49076.52,183.67,79.82,29.41,50.41,326,8
